NO LON-DEG LON-MIN LON-SEC LON-EW LAT-DEG LAT-MIN LAT-SEC LAT-NS CITY_NAME CNTRY_NAME POP
335 106° 58' 51.6083" E 13° 30' 25.2075" N Lumphat Cambodia 19205
336 114° 33' 34.9682" E 38° 04' 37.5313" N Shijiazhuang China 1992474
337 36° 48' 14.3905" E 1° 16' 11.9962" S Nairobi Kenya 2750547
338 109° 18' 57.5943" E 13° 04' 55.2143" N Tuy-Hoa Vietnam 69596
339 112° 33' 07.2087" E 37° 53' 34.7889" N Taiyuan China 2722475
340 33° 48' 10.8048" E 1° 29' 45.5928" S Musoma Tanzania 121119
341 11° 01' 37.1939" E 2° 51' 25.1856" S Tchibanga Gabon 19365
342 116° 08' 13.1977" E 8° 35' 23.9856" S Mataram Indonesia 318674
343 34° 44' 38.3869" E 4° 49' 01.1929" S Singida Tanzania 62432
344 108° 03' 00.0159" E 12° 39' 59.9867" N Buon-Me-Thuot Vietnam 146975
345 116° 58' 01.1906" E 36° 39' 21.6034" N Jinan China 2069266
346 34° 01' 22.7903" E 11° 27' 54.0037" S Mzuzu Malawi -999
347 19° 54' 18.0120" E 11° 47' 27.5966" S Luena Angola 21115
348 115° 13' 02.1767" E 8° 42' 24.0838" S Denpasar Indonesia 405923
349 107° 11' 59.9979" E 12° 26' 59.9894" N Senmonorom Cambodia 7944
350 113° 38' 30.4270" E 34° 45' 27.6658" N Zhengzhou China 2014125
351 16° 56' 20.3976" E 12° 22' 48.0145" S Kuito Angola 113624
352 109° 12' 10.8121" E 12° 14' 34.7892" N Nha-Trang Vietnam 283441
353 35° 13' 59.8780" E 13° 18' 00.0072" S Lichinga Mozambique 109839
354 123° 35' 14.2415" E 10° 10' 20.8773" S Kupang Indonesia 282396
355 108° 26' 31.1974" E 11° 56' 41.9928" N Da-Lat Vietnam 131377
356 131° 57' 37.5820" E 43° 07' 47.9930" N Vladivostok Russia 587022
357 17° 52' 00.1250" E 14° 47' 59.9857" S Menongue Angola -999
358 43° 40' 00.0062" E 23° 20' 59.9858" S Toliara Madagascar 115319
359 140° 43' 08.3548" E 2° 32' 31.1857" S Jayapura Indonesia 134895
360 33° 46' 26.4119" E 13° 58' 58.8109" S Lilongwe Malawi 646750
361 103° 28' 00.1211" E 4° 14' 59.9926" N Kemaman-Harbor Malaysia -999
362 129° 47' 02.3869" E 41° 47' 02.4106" N Ch'ongjin North-Korea 327000
363 39° 15' 25.2048" E 15° 06' 53.9856" S Nampula Mozambique 388526
364 35° 23' 16.8012" E 23° 52' 26.4110" S Inhambane Mozambique 73884
365 34° 59' 38.3939" E 15° 47' 34.8075" S Blantyre Malawi 584877
366 141° 18' 14.3868" E 2° 41' 24.0035" S Vanimo Papua-New-Guinea 11204
367 103° 19' 59.8888" E 3° 47' 59.9930" N Kuantan-New-Port Malaysia 366229
368 127° 26' 02.3905" E 36° 19' 26.4001" N Taejon South-Korea 1475221
369 17° 42' 39.6047" E 19° 14' 52.8108" S Tsumeb Namibia 12190
370 108° 06' 14.4157" E 10° 55' 15.5858" N Phan-Thiet Vietnam 160652
371 36° 53' 02.3944" E 17° 52' 40.7858" S Quelimane Mozambique 188964
372 17° 20' 31.2049" E 19° 38' 23.9930" S Otavi Namibia 4562
373 127° 07' 59.9710" E 35° 48' 59.9798" N Chonju South-Korea 711424
374 103° 08' 27.5976" E 5° 19' 30.0106" N Kuala-Terengganu Malaysia 285065
375 143° 37' 12.0085" E 3° 33' 53.9963" S Wewak Papua-New-Guinea 18230
376 21° 38' 49.1941" E 21° 42' 18.0106" S Ghanzi Botswana -999
377 34° 50' 09.6118" E 19° 49' 37.2002" S Beira Mozambique 530604
378 102° 02' 31.2013" E 4° 11' 02.4038" N Kuala-Lipis Malaysia 15448
379 16° 54' 46.7942" E 21° 58' 58.8146" S Okahandja Namibia 20879
380 129° 03' 17.9546" E 35° 09' 28.7857" N Pusan South-Korea 3678555
381 31° 14' 49.2047" E 25° 57' 39.6145" S Piggs-Peak Swaziland 5750
382 18° 57' 46.8013" E 22° 27' 18.0001" S Gobabis Namibia 16321
383 145° 46' 58.7007" E 5° 13' 52.5326" S Madang Papua-New-Guinea 27419
384 101° 42' 28.8050" E 3° 08' 59.9997" N Kuala-Lumpur Malaysia 1453975
385 14° 31' 40.7943" E 22° 40' 26.3891" S Swakopmund Namibia 25047
386 126° 54' 28.8051" E 35° 09' 10.8039" N Kwangju South-Korea 1416938
387 32° 34' 26.3906" E 25° 57' 43.2109" S Maputo Mozambique 1191613
388 143° 43' 04.8124" E 5° 29' 24.0002" S Wabag Papua-New-Guinea 3958
389 128° 35' 27.6048" E 35° 51' 50.4035" N Taegu South-Korea 2566540
390 14° 37' 01.5538" E 23° 06' 06.7178" S Walvis-Bay Namibia 52058
391 101° 32' 59.9907" E 3° 04' 00.1054" N Shah-Alam Malaysia 481654
392 167° 57' 46.6210" E 29° 03' 49.5791" S Kingston Norfolk-I. -999
393 127° 27' 39.5904" E 39° 09' 00.0002" N Wonsan North-Korea 329207
394 110° 20' 38.3867" E 1° 32' 56.3963" N Kuching Malaysia 570407
395 31° 11' 28.6812" E 26° 18' 12.1749" S Mbabane Swaziland 76218
396 15° 09' 18.0052" E 26° 38' 38.3854" S Luderitz Namibia 15137
397 176° 50' 27.6012" E 39° 38' 23.9855" S Hastings New-Zealand 61696
398 125° 45' 25.2012" E 39° 01' 44.4145" N P'yongyang North-Korea 3222000
399 101° 57' 00.0085" E 2° 42' 28.8036" N Seremban Malaysia 372917
400 18° 28' 55.2158" E 33° 58' 44.3853" S Cape-Town South-Africa 3433441
401 31° 57' 07.1943" E 26° 27' 17.9859" S Siteki Swaziland 6152
402 175° 02' 05.9906" E 39° 55' 48.0106" S Wanganui New-Zealand 40268
403 125° 45' 43.2159" E 38° 30' 25.2145" N Sariwon North-Korea 154942
404 17° 04' 37.1868" E 22° 33' 36.0110" S Windhoek Namibia 268132
405 102° 15' 18.0119" E 2° 11' 59.9855" N Melaka Malaysia 180671
406 31° 23' 16.8155" E 26° 29' 42.0039" S Manzini Swaziland 110537
407 17° 04' 51.6049" E 23° 19' 11.9964" S Rehoboth Namibia 21377
408 174° 48' 25.9791" E 41° 20' 05.4242" S Wellington New-Zealand 381900
409 125° 42' 53.9902" E 38° 02' 24.0109" N Haeju North-Korea 222396
410 17° 57' 32.3872" E 24° 37' 15.6110" S Mariental Namibia 13380
411 103° 45' 36.0050" E 1° 30' 00.0110" N Johor-Baharu Malaysia 802489
412 31° 25' 00.1069" E 26° 59' 59.9998" S Hlatikulu Swaziland 2748
413 16° 58' 19.2087" E 24° 50' 20.4035" S Maltahohe Namibia 2329
414 150° 28' 48.0013" E 23° 25' 47.9891" S Rockhampton Australia 65850
415 126° 33' 57.6047" E 37° 58' 08.4069" N Kaesong North-Korea 338155
416 101° 25' 58.7904" E 0° 33' 03.5927" N Pekanbaru Indonesia -999
417 25° 29' 03.4846" E 33° 52' 53.6558" S Port-Elizabeth South-Africa 967677
418 153° 01' 33.6049" E 27° 27' 14.3854" S Brisbane Australia 958504
419 22° 23' 49.2158" E 26° 01' 01.2073" S Tsabong Botswana -999
420 127° 43' 40.8015" E 37° 51' 32.4142" N Ch'unch'on South-Korea 209746
421 17° 09' 39.6082" E 26° 30' 07.2109" S Bethanien Namibia 10363
422 103° 49' 54.4596" E 1° 16' 07.8816" N Singapore Singapore 3547809
423 151° 46' 46.3996" E 32° 55' 40.6491" S Newcastle Australia 497955
424 30° 59' 06.0088" E 25° 27' 57.6144" S Nelspruit South-Africa 110159
425 18° 07' 58.8084" E 26° 34' 26.4107" S Keetmanshoop Namibia 15608
426 26° 09' 07.2085" E 24° 22' 37.2145" S Mochudi Botswana -999
427 101° 15' 00.0013" E 6° 51' 50.4107" N Pattani Thailand -999
428 126° 38' 00.3132" E 37° 29' 10.4714" N Inch`on South-Korea 2628000
429 18° 44' 42.0088" E 28° 01' 19.2145" S Karasburg Namibia 6054
430 25° 31' 12.0158" E 24° 24' 07.1893" S Molepolole Botswana 63248
431 151° 01' 41.5178" E 33° 53' 23.1718" S Sydney Australia 4394576
432 101° 17' 20.3907" E 6° 33' 00.0073" N Yala Thailand 93558
433 17° 23' 09.6083" E 3° 18' 53.9893" S Bandundu Congo;-DRC 118211
434 101° 49' 30.0047" E 6° 25' 40.7929" N Narathiwat Thailand 47771
435 127° 29' 52.7868" E 36° 38' 06.0146" N Ch'ungju South-Korea 634596
436 25° 57' 02.8742" E 24° 38' 23.7477" S Gaborone Botswana 208411
437 138° 31' 14.9782" E 34° 48' 42.0334" S Adelaide Australia 1074159
438 25° 20' 34.8051" E 24° 58' 40.7892" S Kanye Botswana 44716
439 15° 17' 06.5091" E 4° 17' 06.6768" S Brazzaville Congo 1284609
440 102° 14' 24.0014" E 6° 07' 04.8071" N Kota-Baharu Malaysia 279316
441 25° 40' 37.2014" E 25° 13' 40.7962" S Lobatse Botswana 30883
442 14° 45' 43.1943" E 4° 21' 21.5998" S Kinkala Congo 13882
443 126° 56' 06.8796" E 37° 32' 32.4855" N Seoul South-Korea 10349312
444 105° 48' 03.6121" E 11° 04' 47.9965" N Svay-Rieng Cambodia -999
445 149° 02' 31.2267" E 35° 21' 00.0074" S Canberra Australia 327700
446 104° 46' 59.8850" E 10° 58' 59.8907" N Takev Cambodia -999
447 28° 00' 15.5176" E 26° 10' 44.2455" S Johannesburg South-Africa 2026469
448 22° 24' 10.7941" E 5° 53' 31.2110" S Kananga Congo;-DRC 463546
449 125° 18' 46.8122" E 43° 52' 51.6106" N Changchun China 2537421
450 145° 04' 30.3755" E 37° 51' 10.6415" S Melbourne Australia 3730206
451 106° 39' 09.8830" E 10° 58' 08.6665" N Thu-Dau-Mot Vietnam -999
452 126° 34' 01.4282" E 43° 51' 00.7706" N Jilin China 1881977
453 27° 54' 00.0011" E 33° 01' 47.9997" S East-London South-Africa -999
454 106° 48' 59.9843" E 10° 57' 00.0109" N Bien-Hoa Vietnam 407208
455 123° 54' 21.5908" E 41° 51' 32.3999" N Fushun China 1400646
456 18° 59' 59.9977" E 7° 19' 47.9855" S Kahemba Congo;-DRC -999
457 147° 17' 27.6120" E 42° 51' 03.5929" S Hobart Australia 47700
458 27° 37' 23.3124" E 32° 45' 41.1517" S Bisho South-Africa 137287
459 106° 39' 44.8429" E 10° 45' 33.0659" N Ho-Chi-Minh-City Vietnam 3467331
460 128° 10' 07.6558" E 41° 23' 23.3230" N Hyesan North-Korea 97794
461 20° 44' 02.4084" E 8° 25' 26.4000" S Lucapa Angola 20115
462 144° 13' 11.9867" E 5° 51' 54.0110" S Mount-Hagen Papua-New-Guinea 33623
463 126° 35' 45.5941" E 40° 58' 08.3967" N Kanggye North-Korea 209530
464 104° 10' 55.2088" E 10° 36' 21.5853" N Kampot Cambodia 22691
465 20° 23' 27.6121" E 9° 39' 39.5855" S Saurimo Angola 40498
466 25° 39' 07.1939" E 25° 51' 32.3930" S MMabatho-(Mafikeng) South-Africa 76754
467 124° 24' 07.1867" E 40° 05' 45.5963" N Sinuiju North-Korea 288112
468 127° 33' 28.7978" E 39° 54' 50.4037" N Hamhung North-Korea 559056
469 144° 57' 36.0447" E 6° 01' 22.7925" S Kundiawa Papua-New-Guinea 9383
470 15° 17' 56.4048" E 4° 19' 15.5964" S Kinshasa Congo;-DRC 7785965
471 125° 27' 50.3867" E 39° 29' 16.8146" N Sin-Ni North-Korea -999
472 145° 23' 13.1653" E 6° 05' 16.7854" S Goroka Papua-New-Guinea 18503
473 13° 28' 15.6083" E 5° 49' 01.1889" S Matadi Congo;-DRC 180109
474 130° 47' 50.8214" E 33° 40' 54.6994" N Kita-Kyushu Japan 997536
475 143° 39' 07.1581" E 6° 08' 31.1859" S Mendi Papua-New-Guinea 26252
476 14° 16' 00.1249" E 6° 18' 00.0001" S Mbanza-Congo Angola 24220
477 130° 24' 07.1651" E 33° 34' 47.9963" N Fukuoka Japan 1392289
478 15° 08' 59.9905" E 7° 44' 59.9963" S Uige Angola 60008
479 145° 50' 16.7942" E 7° 55' 37.2070" S Kerema Papua-New-Guinea 5646
480 13° 39' 46.7980" E 8° 34' 40.7962" S Caxito Angola 28224
481 126° 32' 00.0250" E 33° 30' 29.5090" N Cheju South-Korea 329068
482 13° 14' 06.0159" E 8° 48' 43.1962" S Luanda Angola 2776168
483 143° 14' 01.4003" E 9° 06' 32.9472" S Daru Papua-New-Guinea 15214
484 14° 54' 50.3975" E 9° 17' 52.7963" S Ndalatando Angola -999
485 129° 51' 57.6160" E 32° 45' 54.0145" N Nagasaki Japan 410204
486 145° 42' 36.0336" E 16° 50' 59.9928" S Cairns Australia 154225
487 16° 20' 27.6118" E 9° 32' 31.1928" S Malange Angola 87046
488 127° 41' 31.2016" E 26° 12' 18.0105" N Naha Japan 300795
489 146° 49' 47.9867" E 19° 17' 59.9855" S Townsville Australia 138954
490 13° 50' 56.4087" E 11° 12' 32.3856" S Ngunza Angola 33277
491 114° 13' 48.4156" E 22° 22' 47.6547" N Kowloon China -999
492 15° 55' 00.1142" E 0° 28' 59.8802" S Owando Congo 23952
493 147° 16' 47.9868" E 2° 01' 55.2074" S Lorengau Papua-New-Guinea 5806
494 114° 10' 37.1904" E 22° 16' 26.4036" N Hong-Kong China 7012738
495 150° 48' 24.0241" E 2° 34' 00.5445" S Kavieng Papua-New-Guinea 14490
496 12° 30' 14.3906" E 1° 07' 37.1930" S Kaulomoutou Gabon -999
497 113° 32' 42.6131" E 22° 11' 57.1595" N Macau China 520400
498 13° 36' 10.7870" E 1° 37' 55.1890" S Masuku Gabon -999
499 152° 10' 12.0086" E 4° 12' 17.9925" S Rabaul Papua-New-Guinea 8074
500 14° 45' 36.0014" E 2° 32' 34.8144" S Djambala Congo 9650
501 121° 02' 00.0286" E 14° 38' 59.9751" N Quezon-City Philippines -999
502 13° 21' 25.1975" E 3° 41' 27.5966" S Sibiti Congo 19089
503 150° 08' 34.8483" E 5° 33' 00.0106" S Kimbe Papua-New-Guinea 18847
504 13° 33' 14.4011" E 4° 09' 50.4108" S Madingou Congo 22760
505 120° 58' 01.0143" E 14° 37' 00.1274" N Manila Philippines 10444527
506 155° 33' 57.5653" E 6° 13' 40.8003" S Arawa Papua-New-Guinea 40266
507 12° 40' 19.2014" E 4° 11' 38.4002" S Loubomo Congo 103894
508 116° 05' 15.2891" E 5° 58' 02.0750" N Kota-Kinabalu Malaysia 457326
509 146° 59' 27.5904" E 6° 43' 26.3962" S Lae Papua-New-Guinea 76255
510 12° 03' 29.1327" E 4° 38' 19.3485" S Pointe-Noire Congo 659084
511 148° 14' 24.0303" E 8° 46' 08.3893" S Popondetta Papua-New-Guinea 28198
512 114° 58' 01.1980" E 4° 55' 58.7963" N Bandar-Seri-Begawan Brunei 64409
513 150° 27' 00.0119" E 10° 18' 21.5964" S Alotau Papua-New-Guinea -999
514 128° 45' 00.0156" E 71° 42' 00.0107" N Tiksi Russia 5700
515 133° 24' 35.9905" E 67° 34' 48.0036" N Uttyakh Russia -999
516 147° 08' 52.6140" E 9° 29' 49.8733" S Port-Moresby Papua-New-Guinea 283733
517 110° 45' 00.0156" E 50° 19' 47.9926" N Chatanga Russia -999
518 179° 13' 18.7945" E 8° 32' 11.3998" S Funafuti Tuvalu 4749
519 106° 54' 43.1979" E 47° 55' 44.3857" N Ulaanbaatar Mongolia 844818
520 159° 57' 06.4096" E 9° 26' 01.8420" S Honiara Solomon-Is. 56298
521 106° 56' 49.2014" E 47° 42' 39.5926" N Dzuunmod Mongolia 17738
522 168° 19' 15.5905" E 17° 44' 23.9967" S Port-Vila Vanuatu 35901
523 110° 39' 39.6123" E 47° 19' 48.0034" N Ondorhaan Mongolia 14723
524 178° 26' 51.8113" E 18° 08' 04.3151" S Suva Fiji 77366
525 100° 16' 58.8158" E 64° 19' 58.7962" N Tura Russia 5444
526 165° 30' 00.0050" E 21° 30' 00.0034" S Noumea New-Caledonia 93060
527 96° 14' 21.6252" E 46° 19' 38.5137" N Altay Mongolia -999
528 166° 55' 00.1213" E 0° 31' 00.1163" S Yaren Nauru -999
529 174° 18' 57.5548" E 35° 43' 15.6001" S Whangarei New-Zealand 50900
530 174° 45' 39.6047" E 36° 54' 14.3858" S Auckland New-Zealand 417910
531 176° 09' 18.0085" E 37° 42' 00.0039" S Tauranga New-Zealand 110338
532 175° 16' 22.7760" E 37° 46' 33.5891" S Hamilton New-Zealand 152641
533 178° 00' 57.6482" E 38° 39' 32.3853" S Gisborne New-Zealand 34274
534 174° 04' 40.8015" E 39° 04' 11.9961" S New-Plymouth New-Zealand 49168
535 173° 14' 52.8086" E 41° 17' 49.2145" S Nelson New-Zealand -999
536 171° 12' 25.2015" E 42° 28' 19.1967" S Greymouth New-Zealand 9419
537 172° 38' 16.8012" E 43° 31' 26.4002" S Christchurch New-Zealand 363926
538 170° 28' 26.4155" E 45° 53' 02.3925" S Dunedin New-Zealand 114347
539 168° 22' 22.7980" E 46° 24' 46.8001" S Invercargill New-Zealand 47287
540 31° 35' 49.6268" E 4° 50' 38.6188" N Juba South-Sudan 300000
541 56° 05' 34.8132" W 15° 36' 54.0003" S Cuiaba Brazil 521934
542 84° 50' 20.4130" W 38° 12' 03.6146" N Frankfort United-States 16315
543 86° 49' 04.7846" W 36° 08' 31.2069" N Nashville United-States 530852
544 47° 53' 51.8916" W 15° 47' 31.5994" S Brasilia Brazil 2207718
545 49° 15' 18.0058" W 16° 43' 37.2141" S Goiania Brazil 1171195
546 81° 39' 14.4096" W 38° 21' 18.0107" N Charleston United-States 19399
547 54° 36' 57.5844" W 20° 27' 03.5894" S Campo-Grande Brazil 729151
548 80° 50' 08.4397" W 35° 12' 20.9591" N Charlotte United-States 598351
549 55° 44' 52.7918" W 22° 31' 58.8110" S Pedro-Juan-Caballero Paraguay -999
550 80° 59' 49.2094" W 34° 00' 50.3895" N Columbia United-States 33641
551 54° 16' 59.8861" W 24° 02' 59.9930" S Salto-del-Guaira Paraguay 7385
552 84° 20' 56.3948" W 33° 47' 45.5964" N Atlanta United-States 422908
553 54° 37' 22.7914" W 25° 31' 37.1891" S Puerto-Presidente-Stroessner Paraguay -999
554 76° 37' 06.1880" W 39° 19' 18.7751" N Baltimore United-States 610892
555 55° 51' 03.6097" W 27° 22' 37.2037" S Encarnacion Paraguay 74983
556 75° 31' 30.0094" W 39° 07' 44.4107" N Dover United-States 18717
557 76° 29' 31.1949" W 38° 57' 32.4070" N Annapolis United-States 36252
558 55° 54' 21.6060" W 27° 23' 52.7931" S Posadas Argentina 312060
559 76° 57' 13.8013" W 38° 53' 27.2691" N Washington-D.C. United-States 552433
560 69° 11' 31.1984" W 12° 36' 10.7895" S Puerto-Maldonado Peru 37543
561 77° 28' 22.7950" W 37° 33' 46.8108" N Richmond United-States 30697
562 71° 59' 13.2132" W 13° 31' 33.6038" S Cuzco Peru 312140
563 76° 16' 06.8651" W 36° 52' 45.4477" N Norfolk United-States 10386
564 72° 53' 02.3913" W 13° 38' 31.2070" S Abancay Peru 55111
565 78° 38' 38.3912" W 35° 47' 27.6071" N Raleigh United-States 276093
566 70° 02' 02.4129" W 15° 50' 42.0144" S Puno Peru 116552
567 74° 00' 40.3943" W 40° 39' 50.2634" N Brooklyn United-States 11037
568 71° 31' 22.7985" W 16° 23' 52.8003" S Arequipa Peru 841130
569 75° 22' 09.0035" W 39° 52' 08.9871" N Chester United-States 19621
570 77° 38' 08.1983" W 43° 12' 37.6811" N Rochester United-States 211354
571 68° 08' 46.4806" W 16° 29' 56.4252" S La-Paz Bolivia 812799
572 73° 46' 08.4133" W 42° 39' 32.4034" N Albany United-States 75794
573 176° 09' 05.6291" W 13° 16' 23.8766" S Mata-Utu Wallis-&-Futuna -999
574 74° 11' 59.9843" W 40° 43' 11.9855" N Newark United-States 280123
575 171° 44' 22.1769" W 13° 50' 13.2826" S Apia Samoa 40407
576 73° 54' 18.8519" W 40° 42' 28.3105" N New-York United-States 8008278
577 76° 54' 14.4022" W 40° 15' 54.0035" N Harrisburg United-States 47840
578 170° 41' 52.2984" W 14° 16' 06.1499" S Pago-Pago American-Samoa 4196
579 74° 46' 51.5987" W 40° 13' 29.9855" N Trenton United-States 84833
580 149° 34' 12.0349" W 17° 32' 05.9889" S Papeete French-Polynesia 26357
581 75° 13' 05.6232" W 39° 55' 39.1979" N Philadelphia United-States 1517550
582 169° 55' 00.0105" W 19° 01' 00.0010" S Alofi Niue 624
583 69° 46' 19.1843" W 44° 19' 15.6143" N Augusta United-States 18560
584 175° 14' 44.3423" W 21° 07' 51.2474" S Nuku'-alofa Tonga 22400
585 72° 34' 47.9844" W 44° 15' 43.1998" N Montpelier United-States 7828
586 159° 46' 00.1005" W 21° 13' 59.8944" S Avarua Cook-Is. 13373
587 71° 32' 38.3879" W 43° 12' 21.6109" N Concord United-States 16810
588 130° 06' 10.8020" W 25° 03' 57.5966" S Adamstown Pitcairn-Is. 1281
589 71° 06' 10.7877" W 42° 22' 29.9894" N Boston United-States 589141
590 64° 43' 51.5880" W 21° 31' 55.1858" S Tarija Bolivia 159269
591 72° 42' 07.1987" W 45° 24' 07.2106" S Puerto-Aisen Chile -999
592 71° 25' 33.5917" W 41° 48' 57.5930" N Providence United-States 177595
593 57° 25' 44.3985" W 23° 24' 10.7892" S Concepcion Paraguay 48123
594 67° 29' 59.9987" W 45° 49' 47.9926" S Comodoro-Rivadavia Argentina 140850
595 72° 42' 10.7952" W 41° 45' 36.0002" N Hartford United-States 12525
596 69° 13' 44.3948" W 51° 37' 29.9966" S Rio-Gallegos Argentina 85700
597 58° 51' 07.1953" W 23° 26' 09.6002" S Pozo-Colorado Paraguay -999
598 66° 53' 53.7992" W 10° 29' 45.7546" N Caracas Venezuela 1815679
599 57° 50' 56.4093" W 51° 42' 03.6146" S Stanley Falkland-Is. 2213
600 57° 04' 37.2022" W 24° 05' 20.4146" S San-Pedro Paraguay -999
601 67° 02' 24.0021" W 10° 20' 31.1964" N Los-Teques Venezuela -999
602 70° 56' 04.7462" W 53° 09' 58.2050" S Punta-Arenas Chile 117430
603 57° 37' 19.1841" W 25° 18' 18.0107" S Asuncion Paraguay 1482200
604 64° 41' 31.1986" W 10° 07' 58.8033" N Barcelona Venezuela 424795
605 68° 17' 52.8092" W 54° 47' 31.2000" S Ushuaia Argentina 58028
606 56° 28' 22.8059" W 30° 24' 36.0039" S Artigas Uruguay 41909
607 67° 21' 14.4061" W 9° 54' 03.5963" N San-Juan-De-Los-Morros Venezuela 87739
608 70° 59' 05.9915" W 34° 35' 16.7962" S San-Fernando Chile -999
609 60° 41' 52.7918" W 31° 37' 01.2000" S Santa-Fe Argentina 468632
610 63° 33' 10.7842" W 8° 07' 37.2002" N Ciudad-Bolivar Venezuela 338000
611 60° 31' 55.2062" W 31° 43' 48.0144" S Parana Argentina 262295
612 71° 39' 35.9917" W 35° 25' 22.8037" S Talca Chile 197479
613 67° 28' 48.0058" W 7° 54' 07.0054" N San-Fernado-de-Apure Venezuela 78779
614 60° 39' 50.1573" W 32° 56' 15.8353" S Rosario Argentina 1173533
615 73° 03' 17.9915" W 36° 49' 33.6070" S Concepcion Chile 215413
616 67° 29' 20.4058" W 6° 11' 05.9929" N Puerto-Carreno Colombia 10216
617 57° 57' 00.0020" W 34° 55' 00.1092" S La-Plata Argentina 694167
618 72° 34' 33.5984" W 38° 43' 44.3928" S Temuco Chile 238129
619 60° 39' 50.3842" W 2° 49' 04.7964" N Boa-Vista Brazil 235150
620 56° 42' 39.5914" W 34° 21' 17.9927" S San-Jose-De-Mayo Uruguay 36529
621 68° 16' 59.9973" W 38° 56' 41.6688" S Neuquen Argentina 242092
622 64° 37' 59.8856" W 10° 13' 57.7308" N Puerto-La-Cruz Venezuela 370000
623 57° 50' 24.0093" W 34° 28' 47.9965" S Colonia-del-Sacramento Uruguay 21714
624 72° 57' 07.2058" W 41° 28' 29.9890" S Puerto-Montt Chile 160054
625 63° 52' 59.9938" W 11° 02' 00.0023" N La-Asuncion Venezuela 35084
626 56° 17' 02.4058" W 34° 32' 16.8145" S Canelones Uruguay 19698
627 70° 23' 56.3951" W 23° 38' 27.6074" S Antofagasta Chile 309832
628 64° 17' 16.7948" W 36° 37' 40.8075" S Santa-Rosa Argentina 111424
629 61° 29' 24.2181" W 10° 38' 23.0534" N Port-of-Spain Trinidad-&-Tobago 49657
630 70° 19' 55.2093" W 27° 21' 36.0002" S Copiapo Chile 129280
631 62° 16' 26.6146" W 38° 43' 30.9791" S Bahia-Blanca Argentina 276546
632 64° 10' 55.1880" W 10° 27' 14.4143" N Cumana Venezuela 257783
633 63° 10' 55.1915" W 9° 44' 31.1855" N Maturin Venezuela 410972
634 71° 14' 41.9950" W 29° 54' 03.5892" S La-Serena Chile 154521
635 62° 59' 42.1141" W 40° 48' 54.0969" S Viedma Argentina 48940
636 68° 31' 37.1952" W 31° 32' 02.4072" S San-Juan Argentina 447048
637 62° 02' 59.9840" W 9° 03' 25.1894" N Tucupita Venezuela 51534
638 68° 49' 48.0057" W 32° 53' 49.1930" S Mendoza Argentina 876884
639 65° 05' 59.9877" W 43° 17' 59.9966" S Rawson Argentina 26335
640 58° 10' 11.9881" W 6° 46' 11.9928" N Georgetown Guyana 235017
641 71° 33' 18.0130" W 33° 01' 15.5998" S Valparaiso Chile 282448
642 58° 26' 59.4013" W 34° 37' 20.9856" S Buenos-Aires Argentina 13076300
643 56° 59' 31.1843" W 5° 56' 16.8069" N Nieuw-Nickerie Suriname 13143
644 70° 38' 51.0560" W 33° 28' 30.0830" S Santiago Chile 4837295
645 65° 18' 03.6095" W 24° 11' 52.8108" S San-Salvador-De-Jujuy Argentina 305891
646 56° 19' 00.1153" W 5° 52' 59.8799" N Totness Suriname 1685
647 71° 19' 55.2059" W 29° 57' 32.4072" S Coquimbo Chile 161317
648 65° 24' 28.8134" W 24° 47' 20.3890" S Salta Argentina 512686
649 64° 37' 18.1224" W 18° 24' 32.6451" N Road-Town British-Virgin-Is. 8449
650 80° 27' 17.9842" W 1° 03' 21.5891" S Portoviejo Ecuador 170326
651 65° 12' 50.3986" W 26° 49' 44.4002" S San-Miguel-De-Tucuman Argentina 781023
652 66° 04' 08.3984" W 18° 23' 56.3895" N San-Juan Puerto-Rico 418140
653 79° 00' 10.7951" W 1° 36' 21.5855" S Guaranda Ecuador 22199
654 64° 56' 00.0049" W 18° 21' 00.0036" N Charlotte-Amalie Virgin-Is. 20000
655 64° 16' 08.3990" W 27° 47' 24.0074" S Santiago-Del-Estero Argentina 354692
656 79° 31' 48.0097" W 1° 47' 41.9857" S Babahoyo Ecuador 76279
657 65° 46' 51.5985" W 28° 27' 57.6036" S Catamarca Argentina 188812
658 63° 03' 59.9855" W 18° 12' 59.9977" N The-Valley Anguilla 1378
659 79° 54' 28.3561" W 2° 12' 11.1311" S Guayaquil Ecuador 1952029
660 66° 51' 17.9879" W 29° 24' 46.7962" S La-Rioja Argentina 162620
661 67° 08' 34.7878" W 18° 12' 10.8145" N Mayaguez Puerto-Rico 78647
662 64° 10' 47.9951" W 31° 18' 57.6141" S Cordoba Argentina 1428214
663 78° 50' 38.3844" W 2° 45' 00.0145" S Azogues Ecuador 34877
664 66° 20' 52.7990" W 33° 18' 57.6073" S San-Luis Argentina 183982
665 66° 36' 50.4130" W 18° 01' 15.5891" N Ponce Puerto-Rico 152634
666 69° 56' 59.9915" W 4° 08' 59.9962" S Leticia Colombia 29666
667 57° 08' 24.0021" W 25° 23' 13.2070" S Caacupe Paraguay 21696
668 62° 43' 55.1913" W 17° 17' 34.7855" N Basseterre St.-Kitts-&-Nevis 12920
669 56° 25' 40.8060" W 25° 27' 10.7963" S Coronel-Oviedo Paraguay 51286
670 67° 48' 43.2097" W 9° 58' 44.4071" S Rio-Branco Brazil 257642
