NO LON-DEG LON-MIN LON-SEC LON-EW LAT-DEG LAT-MIN LAT-SEC LAT-NS CITY_NAME CNTRY_NAME POP
67 99° 31' 00.1177" E 14° 01' 59.8943" N Kanchanaburi Thailand 63699
68 103° 33' 17.9979" E 48° 48' 50.4071" N Bulgan Mongolia 17348
69 93° 56' 27.6049" E 24° 47' 16.7926" N Imphal India 223523
70 29° 26' 59.9941" E 23° 53' 31.2109" S Pietersburg-(Polokwane) South-Africa 123749
71 33° 35' 13.2047" E 16° 09' 50.4002" S Tete Mozambique 129316
72 101° 27' 28.7979" E 47° 27' 28.7961" N Tsetserleg Mongolia 5876
73 100° 03' 50.3940" E 13° 49' 04.7892" N Nakhon-Pathom Thailand 117927
74 93° 37' 00.1356" E 22° 39' 00.0109" N Haka Myanmar -999
75 32° 05' 10.6020" E 28° 47' 02.2630" S Richards-Bay South-Africa 252968
76 102° 46' 19.1979" E 46° 16' 04.8035" N Arvayheer Mongolia -999
77 92° 43' 59.8816" E 23° 40' 00.1094" N Aizawl India 265331
78 28° 15' 00.0050" E 28° 44' 59.9854" S Butha-Buthe Lesotho 16330
79 99° 54' 00.0014" E 13° 29' 59.9999" N Ratchaburi Thailand 92448
80 27° 32' 59.9978" E 11° 40' 48.0073" S Lumumbashi Congo;-DRC 1373770
81 29° 04' 40.8049" E 29° 17' 27.6146" S Mokhotlong Lesotho 8809
82 106° 15' 53.9941" E 45° 45' 39.6146" N Mandalgovi Mongolia 15430
83 100° 00' 03.5942" E 13° 24' 46.7889" N Samut-Songkhram Thailand 35065
84 93° 32' 59.9870" E 27° 09' 00.0107" N Itanagar India 44971
85 26° 24' 03.5869" E 12° 10' 47.9892" S Solwezi Zambia 4846
86 104° 41' 59.9906" E 52° 49' 58.7893" N Ust'-Ordynskiy Russia 14538
87 99° 57' 00.0159" E 13° 06' 00.0142" N Phet-Buri Thailand 46601
88 23° 07' 55.1943" E 15° 16' 37.1858" S Mongu Zambia 52534
89 30° 56' 31.8816" E 29° 50' 10.9571" S Durban South-Africa 3120282
90 91° 46' 59.8668" E 26° 07' 59.8800" N Dispur India -999
91 25° 04' 59.8703" E 17° 49' 59.8874" S Kasane Botswana 9250
92 28° 42' 07.1975" E 30° 07' 02.1610" S Qacha's-Nek Lesotho 25573
93 25° 51' 28.7975" E 17° 51' 28.7929" S Livingstone Zambia 109203
94 129° 49' 48.0155" E 62° 00' 35.9997" N Yakutsk Russia 235600
95 108° 21' 00.0047" E 21° 45' 00.0106" N Fangcheng-Gang China -999
96 94° 06' 57.5904" E 25° 40' 04.8000" N Kohima India 92113
97 113° 29' 56.4013" E 52° 02' 42.0075" N Chita Russia 308500
98 23° 25' 04.8012" E 19° 59' 38.4144" S Maun Botswana 49945
99 107° 04' 51.6052" E 20° 56' 52.8141" N Hon-Gai Vietnam 148066
100 30° 22' 58.8049" E 29° 36' 03.5998" S Pietermaritzburg-(Ulundi) South-Africa 750845
101 91° 52' 59.9929" E 25° 33' 59.9759" N Shillong India 132842
102 127° 32' 00.0216" E 50° 16' 59.9990" N Blagoveshchensk Russia 221296
103 27° 30' 00.0154" E 21° 10' 15.5889" S Francistown Botswana 89979
104 91° 16' 00.1070" E 23° 49' 00.1202" N Agartala India 203264
105 104° 44' 49.2157" E 16° 33' 39.5965" N Savannakhet Laos 66553
106 114° 30' 21.6049" E 48° 03' 36.0000" N Choybalsan Mongolia 23
107 45° 16' 59.8887" E 12° 46' 59.8906" S Mamoutzou Mayotte 54831
108 26° 42' 39.6049" E 22° 23' 20.4108" S Serowe Botswana 47419
109 104° 09' 03.5907" E 15° 47' 16.7930" N Yasothon Thailand 21643
110 90° 24' 25.7124" E 23° 42' 35.6938" N Dhaka Bangladesh 10356500
111 123° 57' 53.8754" E 47° 20' 38.4180" N Qiqihar China 882364
112 106° 25' 37.1944" E 15° 42' 57.5925" N Saravan Laos 5521
113 90° 22' 26.4158" E 22° 42' 10.8143" N Barisal Bangladesh 202242
114 113° 16' 48.0123" E 46° 40' 44.4143" N Baruun-Urt Mongolia 15805
115 55° 26' 59.9977" E 20° 52' 00.1127" S Saint-Denis Reunion 137195
116 104° 29' 59.9975" E 43° 27' 00.0075" N Dalandzadgad Mongolia 15093
117 31° 44' 02.4013" E 0° 20' 05.9930" S Masaka Uganda 65373
118 110° 07' 01.1943" E 44° 53' 05.9925" N Saynshand Mongolia -999
119 104° 51' 25.2084" E 15° 14' 20.3930" N Ubon-Ratchathani Thailand 122533
120 126° 37' 22.7940" E 45° 45' 18.0035" N Harbin China 3229883
121 31° 48' 28.7941" E 1° 19' 19.2037" S Bukoba Tanzania 70628
122 104° 19' 58.8154" E 15° 06' 50.3892" N Sisaket Thailand 44751
123 55° 26' 42.0159" E 4° 37' 01.1998" S Victoria Seychelles 22881
124 111° 38' 56.3867" E 40° 48' 50.4034" N Huhot China 774477
125 32° 53' 20.3905" E 2° 30' 53.9858" S Mwanza Tanzania 436801
126 105° 52' 00.1321" E 14° 52' 59.8802" N Champasak Laos 12994
127 49° 18' 34.5145" E 12° 15' 48.1755" S Antsiranana Madagascar 82937
128 106° 15' 46.8012" E 38° 28' 04.7929" N Yinchuan China 475101
129 114° 31' 58.8048" E 51° 10' 01.1931" N Aginskoye Russia 11491
130 33° 25' 15.5869" E 3° 39' 53.9926" S Shinyanga Tanzania 107362
131 106° 50' 20.4010" E 14° 48' 28.7893" N Attapu Laos 4297
132 46° 18' 27.5272" E 15° 42' 50.1409" S Mahajanga Madagascar 154657
133 101° 45' 53.9943" E 36° 38' 42.0111" N Xining China 767531
134 32° 49' 33.5906" E 5° 01' 04.8141" S Tabora Tanzania 145292
135 101° 22' 40.7940" E 14° 02' 56.3998" N Prachin-Buri Thailand 32600
136 49° 22' 59.8708" E 18° 10' 00.1129" S Toamasina Madagascar 206373
137 132° 53' 59.9799" E 48° 49' 01.1966" N Birobidzhan Russia 76146
138 103° 35' 59.9978" E 36° 06' 46.8146" N Lanzhou China 3200000
139 103° 51' 50.3867" E 13° 22' 08.3855" N Siemreab Cambodia 85000
140 23° 40' 00.1102" E 6° 08' 59.9893" S Mbuji-Mayi Congo;-DRC 874761
141 47° 31' 40.8050" E 18° 54' 28.8034" S Antananarivo Madagascar 1391433
142 103° 12' 14.3975" E 13° 05' 20.3891" N Batdambang Cambodia 150444
143 150° 49' 59.8956" E 59° 37' 59.8726" N Magadan Russia 95282
144 112° 21' 40.4579" E 34° 40' 16.8527" N Luoyang China 123144
145 30° 31' 00.1072" E 3° 10' 00.1343" S Cankuzo Burundi 6585
146 101° 17' 06.0047" E 12° 40' 37.2146" N Rayong Thailand -999
147 29° 59' 34.8157" E 3° 55' 51.6072" S Rutana Burundi 20893
148 29° 36' 43.1943" E 3° 57' 03.6001" S Bururi Burundi 19740
149 143° 14' 50.7133" E 59° 22' 57.8889" N Okhotsk Russia 5570
150 108° 53' 00.0939" E 34° 15' 56.5201" N Xi'an China 3225812
151 102° 07' 01.1906" E 12° 36' 21.6106" N Chanthaburi Thailand 99819
152 57° 29' 45.5867" E 20° 09' 54.0146" S Port-Louis Mauritius 155226
153 29° 47' 59.9980" E 4° 07' 59.8942" S Makamba Burundi 19642
154 29° 37' 08.4013" E 4° 52' 33.6074" S Kigoma Tanzania 164268
155 158° 43' 12.0155" E 53° 11' 59.9967" N Petropavloski-Kamchatskiy Russia 187282
156 109° 48' 28.8049" E 40° 39' 32.4108" N Baotou China 1301768
157 103° 55' 40.8158" E 12° 32' 02.4108" N Pouthisat Cambodia 52476
158 47° 04' 40.8048" E 21° 27' 35.9854" S Fianarantsoa Madagascar 167227
159 30° 19' 33.6155" E 2° 51' 21.5891" S Muyinga Burundi 71076
160 135° 07' 37.1977" E 48° 25' 55.1893" N Khabarovsk Russia 579000
161 102° 30' 32.4049" E 12° 14' 13.2109" N Trat Thailand 21590
162 100° 21' 07.1940" E 0° 57' 14.3998" S Padang Indonesia 840352
163 104° 04' 15.5868" E 30° 40' 12.0069" N Chengdu China 3950437
164 29° 34' 00.1251" E 2° 53' 59.9925" S Kayanza Burundi 19443
165 106° 31' 21.7031" E 29° 32' 38.7675" N Chongqing China 3967028
166 103° 02' 33.4980" E 11° 36' 50.1590" N Krong-Kaoh-Kong Cambodia 33134
167 142° 44' 59.9976" E 46° 57' 36.0072" N Yuzhno-Sakhalinsk Russia 176484
168 107° 36' 25.1905" E 6° 54' 43.1999" S Bandung Indonesia 1699719
169 29° 49' 30.0050" E 2° 54' 43.2142" S Ngozi Burundi 21506
170 102° 50' 13.1907" E 16° 25' 58.8038" N Khon-Kaen Thailand 147579
171 106° 42' 00.0160" E 26° 34' 19.1857" N Guiyang China 1171633
