ID,CITY_NAME,CNTRY_NAME,STATUS,FIPS_CNTRY,POP,POP_RANK,POP_CLASS
1411,Sensuntepeque,El Salvador,Provincial capital,ES,20386,7,Less than 50;000
1412,Florence,Italy,Other,IT,371517,4,250;000 to 499;999
1413,Noril`sk,Russia,Other,RS,140800,5,100;000 to 249;999
1414,Monaco,Monaco,National capital,MN,1020,7,Less than 50;000
1415,Umuahia,Nigeria,Provincial capital,NI,264662,4,250;000 to 499;999
1416,Sonsonate,El Salvador,Provincial capital,ES,59468,6,50;000 to 99;999
1417,Owerri,Nigeria,Provincial capital,NI,215038,5,100;000 to 249;999
1418,Ajaccio,France,Provincial capital,FR,54364,6,50;000 to 99;999
1419,San Salvador,El Salvador,National and provincial capital,ES,525990,3,500;000 to 999;999
1420,Guelma,Algeria,Provincial capital,AG,123590,5,100;000 to 249;999
1421,Uyo,Nigeria,Provincial capital,NI,-999,7,Less than 50;000
1422,Nueva San Salvador,El Salvador,Provincial capital,ES,124694,5,100;000 to 249;999
1423,Constantine,Algeria,Provincial capital,AG,450097,4,250;000 to 499;999
1424,Calabar,Nigeria,Provincial capital,NI,461796,4,250;000 to 499;999
1425,Oum el Bouaghi,Algeria,Provincial capital,AG,100821,5,100;000 to 249;999
1426,San Vicente,El Salvador,Provincial capital,ES,37326,7,Less than 50;000
1427,Batna,Algeria,Provincial capital,AG,280798,4,250;000 to 499;999
1428,Tbessa,Algeria,Provincial capital,AG,-999,7,Less than 50;000
1429,Port Harcourt,Nigeria,Provincial capital,NI,1148665,2,1;000;000 to 4;999;999
1430,Zacatecoluca,El Salvador,Provincial capital,ES,39613,7,Less than 50;000
1431,Biskra,Algeria,Provincial capital,AG,-999,7,Less than 50;000
1432,Tozeur,Tunisia,Provincial capital,TS,34943,7,Less than 50;000
1433,Santo Antonio,Sao Tome & Principe,Provincial capital,TP,12529,7,Less than 50;000
1434,Punta Gorda,Belize,Provincial capital,BH,5026,7,Less than 50;000
1435,Cagliari,Italy,Provincial capital,IT,164249,5,100;000 to 249;999
1436,Sao Tome,Sao Tome & Principe,National and provincial capital,TP,53300,6,50;000 to 99;999
1437,Puerto Barrios,Guatemala,Provincial capital,GT,56605,6,50;000 to 99;999
1438,Bizerte,Tunisia,Provincial capital,TS,115268,5,100;000 to 249;999
1439,Zacapa,Guatemala,Provincial capital,GT,36088,7,Less than 50;000
1440,L'Ariana,Tunisia,Provincial capital,TS,-999,7,Less than 50;000
1441,Dudinka,Russia,Provincial capital,RS,23619,7,Less than 50;000
1442,Chiquimula,Guatemala,Provincial capital,GT,41521,7,Less than 50;000
1443,Annaba,Algeria,Provincial capital,AG,206570,5,100;000 to 249;999
1444,Skikda,Algeria,Provincial capital,AG,162702,5,100;000 to 249;999
1445,Tunis,Tunisia,National and provincial capital,TS,693210,3,500;000 to 999;999
1446,Jijel,Algeria,Provincial capital,AG,-999,7,Less than 50;000
1447,Bafoussam,Cameroon,Provincial capital,CM,290768,4,250;000 to 499;999
1448,Santa Rosa,Honduras,Provincial capital,HO,27753,7,Less than 50;000
1449,Beja,Tunisia,Provincial capital,TS,57233,6,50;000 to 99;999
1450,Jalapa,Guatemala,Provincial capital,GT,45834,7,Less than 50;000
1451,Buea,Cameroon,Provincial capital,CM,-999,7,Less than 50;000
1452,Nueva Ocotepeque,Honduras,Provincial capital,HO,8780,7,Less than 50;000
1453,Douala,Cameroon,Other,CM,1338082,2,1;000;000 to 4;999;999
1454,Jutiapa,Guatemala,Provincial capital,GT,34332,7,Less than 50;000
1455,Malabo,Equatorial Guinea,National and provincial capital,EK,155963,5,100;000 to 249;999
1456,Chalatenango,El Salvador,Provincial capital,ES,19364,7,Less than 50;000
1457,Luba,Equatorial Guinea,Provincial capital,EK,8655,7,Less than 50;000
1458,San Pedro Sula,Honduras,Provincial capital,HO,489466,4,250;000 to 499;999
1459,Ebolowa,Cameroon,Provincial capital,CM,87875,6,50;000 to 99;999
1460,Yoro,Honduras,Provincial capital,HO,15774,7,Less than 50;000
1461,Bauchi,Nigeria,Provincial capital,NI,316149,4,250;000 to 499;999
1462,Santa Barbara,Honduras,Provincial capital,HO,15119,7,Less than 50;000
1463,Gracias,Honduras,Provincial capital,HO,7909,7,Less than 50;000
1464,Jos,Nigeria,Provincial capital,NI,816824,3,500;000 to 999;999
1465,Comayagua,Honduras,Provincial capital,HO,58784,6,50;000 to 99;999
1466,Makurdi,Nigeria,Provincial capital,NI,292645,4,250;000 to 499;999
1467,La Esperanza,Honduras,Provincial capital,HO,5318,7,Less than 50;000
1468,La Paz,Honduras,Provincial capital,HO,17555,7,Less than 50;000
1469,Bamenda,Cameroon,Provincial capital,CM,393835,4,250;000 to 499;999
1470,Tegucigalpa,Honduras,National and provincial capital,HO,850848,3,500;000 to 999;999
1471,Bata,Equatorial Guinea,Provincial capital,EK,173046,5,100;000 to 249;999
1472,Chinandega,Nicaragua,Provincial capital,NU,126387,5,100;000 to 249;999
1473,Boaco,Nicaragua,Provincial capital,NU,29046,7,Less than 50;000
1474,Evinayong,Equatorial Guinea,Provincial capital,EK,8462,7,Less than 50;000
1475,Libreville,Gabon,National and provincial capital,GB,578156,3,500;000 to 999;999
1476,Leon,Nicaragua,Provincial capital,NU,144538,5,100;000 to 249;999
1477,Natitingou,Benin,Provincial capital,BN,80892,6,50;000 to 99;999
1478,Managua,Nicaragua,National and provincial capital,NU,973087,3,500;000 to 999;999
1479,Parakou,Benin,Provincial capital,BN,163753,5,100;000 to 249;999
1480,Juigalpa,Nicaragua,Provincial capital,NU,54731,6,50;000 to 99;999
1481,Bassar,Togo,Provincial capital,TO,61845,6,50;000 to 99;999
1482,Masaya,Nicaragua,Provincial capital,NU,130113,5,100;000 to 249;999
1483,Sotouboua,Togo,Provincial capital,TO,21054,7,Less than 50;000
1484,Granada,Nicaragua,Provincial capital,NU,89409,6,50;000 to 99;999
1485,Oshogbo,Nigeria,Provincial capital,NI,-999,7,Less than 50;000
