ID,CITY_NAME,CNTRY_NAME,STATUS,FIPS_CNTRY,POP,POP_RANK,POP_CLASS
1,Kamphaeng Phet,Thailand,Provincial capital,TH,58787,6,50;000 to 99;999
2,Cabinda,Angola,Provincial capital,AO,66020,6,50;000 to 99;999
3,Phichit,Thailand,Provincial capital,TH,35760,7,Less than 50;000
4,Onjiva,Angola,Provincial capital,AO,10169,7,Less than 50;000
5,Kimberley,South Africa,Provincial capital,SF,142089,5,100;000 to 249;999
6,Long Xuyen,Vietnam,Provincial capital,VM,158153,5,100;000 to 249;999
7,Krasnoyarsk,Russia,Provincial capital,RS,927200,3,500;000 to 999;999
8,Nakhon Sawan,Thailand,Provincial capital,TH,-999,7,Less than 50;000
9,Hlotse,Lesotho,Provincial capital,LT,47675,7,Less than 50;000
10,Benguela,Angola,Provincial capital,AO,151226,5,100;000 to 249;999
11,Rach Gia,Vietnam,Provincial capital,VM,228356,5,100;000 to 249;999
12,Tan An,Vietnam,Provincial capital,VM,64801,6,50;000 to 99;999
13,Huambo,Angola,Provincial capital,AO,226145,5,100;000 to 249;999
14,Saraburi,Thailand,Provincial capital,TH,-999,7,Less than 50;000
15,Abakan,Russia,Provincial capital,RS,167289,5,100;000 to 249;999
16,Cao Lanh,Vietnam,Provincial capital,VM,-999,7,Less than 50;000
17,Lubango,Angola,Provincial capital,AO,102541,5,100;000 to 249;999
18,Nakhon Nayok,Thailand,Provincial capital,TH,21309,7,Less than 50;000
19,Bloemfontein,South Africa,Provincial capital,SF,463064,4,250;000 to 499;999
20,Kyzyl,Russia,Provincial capital,RS,108240,5,100;000 to 249;999
21,My Tho,Vietnam,Provincial capital,VM,122310,5,100;000 to 249;999
22,Namibe,Angola,Provincial capital,AO,80149,6,50;000 to 99;999
23,Pathum Thani,Thailand,Provincial capital,TH,-999,7,Less than 50;000
24,Teyateyaneng,Lesotho,Provincial capital,LT,5115,7,Less than 50;000
25,Vinh Long,Vietnam,Provincial capital,VM,103314,5,100;000 to 249;999
26,Outjo,Namibia,Provincial capital,WA,6557,7,Less than 50;000
27,Nonthaburi,Thailand,Provincial capital,TH,-999,7,Less than 50;000
28,Ulaangom,Mongolia,Provincial capital,MG,28085,7,Less than 50;000
29,Maseru,Lesotho,National and provincial capital,LT,118355,5,100;000 to 249;999
30,Otjiwarongo,Namibia,Provincial capital,WA,21224,7,Less than 50;000
31,Truc Giang,Vietnam,Provincial capital,VM,59442,6,50;000 to 99;999
32,Moron,Mongolia,Provincial capital,MG,27690,7,Less than 50;000
33,Bangkok,Thailand,National and provincial capital,TH,5104476,1,5;000;000 and greater
34,Can Tho,Vietnam,Provincial capital,VM,259598,4,250;000 to 499;999
35,Omaruru,Namibia,Provincial capital,WA,11547,7,Less than 50;000
36,Hovd,Mongolia,Provincial capital,MG,27924,7,Less than 50;000
37,Mafeteng,Lesotho,Provincial capital,LT,57059,6,50;000 to 99;999
38,Tra Vinh,Vietnam,Provincial capital,VM,57408,6,50;000 to 99;999
39,Chachoengsao,Thailand,Provincial capital,TH,49741,7,Less than 50;000
40,Karibib,Namibia,Provincial capital,WA,6898,7,Less than 50;000
41,Kasama,Zambia,Provincial capital,ZA,91056,6,50;000 to 99;999
42,Soc Trang,Vietnam,Provincial capital,VM,114453,5,100;000 to 249;999
43,Uliastay,Mongolia,Other,MG,-999,7,Less than 50;000
44,Mohales Hoek,Lesotho,Provincial capital,LT,-999,7,Less than 50;000
45,Sumbawanga,Tanzania,Provincial capital,TZ,89161,6,50;000 to 99;999
46,Bac Lieu,Vietnam,Provincial capital,VM,107911,5,100;000 to 249;999
47,Samut Prakan,Thailand,Provincial capital,TH,388920,4,250;000 to 499;999
48,Bayanhongor,Mongolia,Provincial capital,MG,23234,7,Less than 50;000
49,Moyeni,Lesotho,Provincial capital,LT,24130,7,Less than 50;000
50,Mbeya,Tanzania,Provincial capital,TZ,291649,4,250;000 to 499;999
51,Samut Sakhon,Thailand,Provincial capital,TH,63498,6,50;000 to 99;999
52,Mansa,Zambia,Provincial capital,ZA,42277,7,Less than 50;000
53,Lhasa,China,Provincial capital,CH,118721,5,100;000 to 249;999
54,Xai-Xai,Mozambique,Provincial capital,MZ,127366,5,100;000 to 249;999
55,Suchboatar,Mongolia,Provincial capital,MG,-999,7,Less than 50;000
56,Chon Buri,Thailand,Provincial capital,TH,219164,5,100;000 to 249;999
57,Ndola,Zambia,Provincial capital,ZA,394518,4,250;000 to 499;999
58,Darhan,Mongolia,Provincial capital,MG,74300,6,50;000 to 99;999
59,Chipata,Zambia,Provincial capital,ZA,85963,6,50;000 to 99;999
60,Irkutsk,Russia,Provincial capital,RS,586695,3,500;000 to 999;999
61,Myitkyina,Myanmar,Provincial capital,BM,90894,6,50;000 to 99;999
62,Kabwe,Zambia,Provincial capital,ZA,188979,5,100;000 to 249;999
63,Pretoria,South Africa,National capital,SF,1619438,2,1;000;000 to 4;999;999
64,Prachuap Khiri Khan,Thailand,Provincial capital,TH,33521,7,Less than 50;000
65,Ulan Ude,Russia,Provincial capital,RS,360278,4,250;000 to 499;999
66,Lusaka,Zambia,National and provincial capital,ZA,1267440,2,1;000;000 to 4;999;999
67,Kanchanaburi,Thailand,Provincial capital,TH,63699,6,50;000 to 99;999
68,Bulgan,Mongolia,Provincial capital,MG,17348,7,Less than 50;000
69,Imphal,India,Provincial capital,IN,223523,5,100;000 to 249;999
70,Pietersburg (Polokwane),South Africa,Provincial capital,SF,123749,5,100;000 to 249;999
71,Tete,Mozambique,Provincial capital,MZ,129316,5,100;000 to 249;999
72,Tsetserleg,Mongolia,Provincial capital,MG,5876,7,Less than 50;000
73,Nakhon Pathom,Thailand,Provincial capital,TH,117927,5,100;000 to 249;999
74,Haka,Myanmar,Provincial capital,BM,-999,7,Less than 50;000
75,Richards Bay,South Africa,Other,SF,252968,4,250;000 to 499;999
76,Arvayheer,Mongolia,Provincial capital,MG,-999,7,Less than 50;000
77,Aizawl,India,Provincial capital,IN,265331,4,250;000 to 499;999
78,Butha-Buthe,Lesotho,Provincial capital,LT,16330,7,Less than 50;000
79,Ratchaburi,Thailand,Provincial capital,TH,92448,6,50;000 to 99;999
80,Lumumbashi,Congo; DRC,Other,CG,1373770,2,1;000;000 to 4;999;999
81,Mokhotlong,Lesotho,Provincial capital,LT,8809,7,Less than 50;000
82,Mandalgovi,Mongolia,Provincial capital,MG,15430,7,Less than 50;000
83,Samut Songkhram,Thailand,Provincial capital,TH,35065,7,Less than 50;000
84,Itanagar,India,Provincial capital,IN,44971,7,Less than 50;000
85,Solwezi,Zambia,Provincial capital,ZA,4846,7,Less than 50;000
86,Ust' Ordynskiy,Russia,Provincial capital,RS,14538,7,Less than 50;000
87,Phet Buri,Thailand,Provincial capital,TH,46601,7,Less than 50;000
88,Mongu,Zambia,Provincial capital,ZA,52534,6,50;000 to 99;999
89,Durban,South Africa,Other,SF,3120282,2,1;000;000 to 4;999;999
90,Dispur,India,Provincial capital,IN,-999,7,Less than 50;000
91,Kasane,Botswana,Provincial capital,BC,9250,7,Less than 50;000
92,Qacha's Nek,Lesotho,Provincial capital,LT,25573,7,Less than 50;000
93,Livingstone,Zambia,Provincial capital,ZA,109203,5,100;000 to 249;999
94,Yakutsk,Russia,Provincial capital,RS,235600,5,100;000 to 249;999
95,Fangcheng Gang,China,Other,CH,-999,7,Less than 50;000
96,Kohima,India,Provincial capital,IN,92113,6,50;000 to 99;999
97,Chita,Russia,Provincial capital,RS,308500,4,250;000 to 499;999
98,Maun,Botswana,Provincial capital,BC,49945,7,Less than 50;000
99,Hon Gai,Vietnam,Provincial capital,VM,148066,5,100;000 to 249;999
100,Pietermaritzburg (Ulundi),South Africa,Provincial capital,SF,750845,3,500;000 to 999;999
101,Shillong,India,Provincial capital,IN,132842,5,100;000 to 249;999
102,Blagoveshchensk,Russia,Provincial capital,RS,221296,5,100;000 to 249;999
103,Francistown,Botswana,Provincial capital,BC,89979,6,50;000 to 99;999
104,Agartala,India,Provincial capital,IN,203264,5,100;000 to 249;999
105,Savannakhet,Laos,Provincial capital,LA,66553,6,50;000 to 99;999
106,Choybalsan,Mongolia,Provincial capital,MG,23,7,Less than 50;000
107,Mamoutzou,Mayotte,National and provincial capital,MF,54831,6,50;000 to 99;999
108,Serowe,Botswana,Provincial capital,BC,47419,7,Less than 50;000
109,Yasothon,Thailand,Provincial capital,TH,21643,7,Less than 50;000
110,Dhaka,Bangladesh,National and provincial capital,BG,10356500,1,5;000;000 and greater
111,Qiqihar,China,Other,CH,882364,3,500;000 to 999;999
112,Saravan,Laos,Provincial capital,LA,5521,7,Less than 50;000
113,Barisal,Bangladesh,Provincial capital,BG,202242,5,100;000 to 249;999
114,Baruun Urt,Mongolia,Provincial capital,MG,15805,7,Less than 50;000
115,Saint-Denis,Reunion,National and provincial capital,RE,137195,5,100;000 to 249;999
116,Dalandzadgad,Mongolia,Provincial capital,MG,15093,7,Less than 50;000
117,Masaka,Uganda,Provincial capital,UG,65373,6,50;000 to 99;999
118,Saynshand,Mongolia,Provincial capital,MG,-999,7,Less than 50;000
119,Ubon Ratchathani,Thailand,Provincial capital,TH,122533,5,100;000 to 249;999
120,Harbin,China,Provincial capital,CH,3229883,2,1;000;000 to 4;999;999
121,Bukoba,Tanzania,Provincial capital,TZ,70628,6,50;000 to 99;999
122,Sisaket,Thailand,Provincial capital,TH,44751,7,Less than 50;000
123,Victoria,Seychelles,National capital,SE,22881,7,Less than 50;000
124,Huhot,China,Provincial capital,CH,774477,3,500;000 to 999;999
125,Mwanza,Tanzania,Provincial capital,TZ,436801,4,250;000 to 499;999
126,Champasak,Laos,Provincial capital,LA,12994,7,Less than 50;000
127,Antsiranana,Madagascar,Provincial capital,MA,82937,6,50;000 to 99;999
128,Yinchuan,China,Provincial capital,CH,475101,4,250;000 to 499;999
129,Aginskoye,Russia,Provincial capital,RS,11491,7,Less than 50;000
130,Shinyanga,Tanzania,Provincial capital,TZ,107362,5,100;000 to 249;999
131,Attapu,Laos,Provincial capital,LA,4297,7,Less than 50;000
132,Mahajanga,Madagascar,Provincial capital,MA,154657,5,100;000 to 249;999
133,Xining,China,Provincial capital,CH,767531,3,500;000 to 999;999
134,Tabora,Tanzania,Provincial capital,TZ,145292,5,100;000 to 249;999
135,Prachin Buri,Thailand,Provincial capital,TH,32600,7,Less than 50;000
136,Toamasina,Madagascar,Provincial capital,MA,206373,5,100;000 to 249;999
137,Birobidzhan,Russia,Provincial capital,RS,76146,6,50;000 to 99;999
138,Lanzhou,China,Provincial capital,CH,3200000,2,1;000;000 to 4;999;999
139,Siemreab,Cambodia,Provincial capital,CB,85000,6,50;000 to 99;999
140,Mbuji-Mayi,Congo; DRC,Provincial capital,CG,874761,3,500;000 to 999;999
141,Antananarivo,Madagascar,National and provincial capital,MA,1391433,2,1;000;000 to 4;999;999
142,Batdambang,Cambodia,Provincial capital,CB,150444,5,100;000 to 249;999
143,Magadan,Russia,Provincial capital,RS,95282,6,50;000 to 99;999
144,Luoyang,China,Other,CH,123144,5,100;000 to 249;999
145,Cankuzo,Burundi,Provincial capital,BY,6585,7,Less than 50;000
146,Rayong,Thailand,Provincial capital,TH,-999,7,Less than 50;000
147,Rutana,Burundi,Provincial capital,BY,20893,7,Less than 50;000
148,Bururi,Burundi,Provincial capital,BY,19740,7,Less than 50;000
149,Okhotsk,Russia,Other,RS,5570,7,Less than 50;000
150,Xi'an,China,Other,CH,3225812,2,1;000;000 to 4;999;999
151,Chanthaburi,Thailand,Provincial capital,TH,99819,6,50;000 to 99;999
152,Port Louis,Mauritius,National capital,MP,155226,5,100;000 to 249;999
153,Makamba,Burundi,Provincial capital,BY,19642,7,Less than 50;000
154,Kigoma,Tanzania,Provincial capital,TZ,164268,5,100;000 to 249;999
155,Petropavloski-Kamchatskiy,Russia,Provincial capital,RS,187282,5,100;000 to 249;999
156,Baotou,China,Other,CH,1301768,2,1;000;000 to 4;999;999
157,Pouthisat,Cambodia,Provincial capital,CB,52476,6,50;000 to 99;999
158,Fianarantsoa,Madagascar,Provincial capital,MA,167227,5,100;000 to 249;999
159,Muyinga,Burundi,Provincial capital,BY,71076,6,50;000 to 99;999
160,Khabarovsk,Russia,Provincial capital,RS,579000,3,500;000 to 999;999
161,Trat,Thailand,Provincial capital,TH,21590,7,Less than 50;000
162,Padang,Indonesia,Provincial capital,ID,840352,3,500;000 to 999;999
163,Chengdu,China,Provincial capital,CH,3950437,2,1;000;000 to 4;999;999
164,Kayanza,Burundi,Provincial capital,BY,19443,7,Less than 50;000
165,Chongqing,China,Other,CH,3967028,2,1;000;000 to 4;999;999
166,Krong Kaoh Kong,Cambodia,Provincial capital,CB,33134,7,Less than 50;000
167,Yuzhno-Sakhalinsk,Russia,Provincial capital,RS,176484,5,100;000 to 249;999
168,Bandung,Indonesia,Provincial capital,ID,1699719,2,1;000;000 to 4;999;999
169,Ngozi,Burundi,Provincial capital,BY,21506,7,Less than 50;000
170,Khon Kaen,Thailand,Provincial capital,TH,147579,5,100;000 to 249;999
171,Guiyang,China,Provincial capital,CH,1171633,2,1;000;000 to 4;999;999
172,Palana,Russia,Provincial capital,RS,3671,7,Less than 50;000
173,Semarang,Indonesia,Provincial capital,ID,1288084,2,1;000;000 to 4;999;999
174,Bubanza,Burundi,Provincial capital,BY,12728,7,Less than 50;000
175,Kalasin,Thailand,Provincial capital,TH,55102,6,50;000 to 99;999
176,Anadyr,Russia,Provincial capital,RS,10332,7,Less than 50;000
177,Karusi,Burundi,Provincial capital,BY,10705,7,Less than 50;000
178,Maha Sarakham,Thailand,Provincial capital,TH,51584,6,50;000 to 99;999
179,Yogyakarta,Indonesia,Provincial capital,ID,636660,3,500;000 to 999;999
180,Muramvya,Burundi,Provincial capital,BY,18041,7,Less than 50;000
181,Roi Et,Thailand,Provincial capital,TH,39328,7,Less than 50;000
182,Kunming,China,Provincial capital,CH,1023674,2,1;000;000 to 4;999;999
183,Bujumbura,Burundi,National and provincial capital,BY,331700,4,250;000 to 499;999
184,Majuro,Marshall Is.,National capital,RM,20500,7,Less than 50;000
185,Chaiyaphum,Thailand,Provincial capital,TH,58350,6,50;000 to 99;999
186,Gitega,Burundi,Provincial capital,BY,23167,7,Less than 50;000
187,Buriram,Thailand,Provincial capital,TH,-999,7,Less than 50;000
188,Ruyigi,Burundi,Provincial capital,BY,38458,7,Less than 50;000
189,Nanning,China,Provincial capital,CH,803788,3,500;000 to 999;999
190,Alice Springs,Australia,Other,AS,26188,7,Less than 50;000
191,Palikir,Micronesia,National capital,FM,4645,7,Less than 50;000
192,Mbarara,Uganda,Provincial capital,UG,-999,7,Less than 50;000
193,Tarawa,Kiribati,National capital,KR,44429,7,Less than 50;000
194,Ha Giang,Vietnam,Provincial capital,VM,32690,7,Less than 50;000
195,Nakhon Ratchasima,Thailand,Provincial capital,TH,208781,5,100;000 to 249;999
196,Surin,Thailand,Provincial capital,TH,46673,7,Less than 50;000
197,Buluko,Congo; DRC,Provincial capital,CG,-999,7,Less than 50;000
198,Perth,Australia,Provincial capital,AS,1446704,2,1;000;000 to 4;999;999
199,Cao Bang,Vietnam,Provincial capital,VM,41112,7,Less than 50;000
200,Ruhengeri,Rwanda,Provincial capital,RW,86685,6,50;000 to 99;999
201,Sapporo,Japan,Provincial capital,JA,1883027,2,1;000;000 to 4;999;999
202,Gisenyi,Rwanda,Provincial capital,RW,83623,6,50;000 to 99;999
203,Phnum Tbeng Meanchey,Cambodia,Provincial capital,CB,24380,7,Less than 50;000
204,Aomori,Japan,Other,JA,298394,4,250;000 to 499;999
205,Lao Cai,Vietnam,Provincial capital,VM,36502,7,Less than 50;000
206,Kibuye,Rwanda,Provincial capital,RW,48024,7,Less than 50;000
207,Stoeng Treng,Cambodia,Provincial capital,CB,-999,7,Less than 50;000
208,Sendai,Japan,Provincial capital,JA,73132,6,50;000 to 99;999
209,Fremantle,Australia,Other,AS,-999,7,Less than 50;000
210,Gikongoro,Rwanda,Provincial capital,RW,-999,7,Less than 50;000
211,Kampong Thum,Cambodia,Provincial capital,CB,19951,7,Less than 50;000
212,Cyangugu,Rwanda,Provincial capital,RW,63883,6,50;000 to 99;999
213,Kracheh,Cambodia,Provincial capital,CB,19975,7,Less than 50;000
214,Saipan,Northern Mariana Is.,National and provincial capital,CQ,-999,7,Less than 50;000
215,Dalian,China,Other,CH,2035307,2,1;000;000 to 4;999;999
216,Byumba,Rwanda,Provincial capital,RW,70593,6,50;000 to 99;999
217,Kigali,Rwanda,National and provincial capital,RW,745261,3,500;000 to 999;999
218,Kampong Chnang,Cambodia,Provincial capital,CB,75244,6,50;000 to 99;999
219,West Island,Cocos Is.,National and provincial capital,CK,-999,7,Less than 50;000
220,Gitarama,Rwanda,Provincial capital,RW,87613,6,50;000 to 99;999
221,Hagatna,Guam,National and provincial capital,GQ,1051,7,Less than 50;000
222,Kampong Cham,Cambodia,Provincial capital,CB,61750,6,50;000 to 99;999
223,Kibungo,Rwanda,Provincial capital,RW,46240,7,Less than 50;000
224,Qingdao,China,Other,CH,1642245,2,1;000;000 to 4;999;999
225,Butare,Rwanda,Provincial capital,RW,89600,6,50;000 to 99;999
226,Tokyo,Japan,National and provincial capital,JA,8336599,1,5;000;000 and greater
227,Phnom Penh,Cambodia,National and provincial capital,CB,1573544,2,1;000;000 to 4;999;999
228,Kismaayo,Somalia,Provincial capital,SO,-999,7,Less than 50;000
229,The Settlement,Christmas I.,National and provincial capital,KT,-999,7,Less than 50;000
230,Prey Veng,Cambodia,Provincial capital,CB,-999,7,Less than 50;000
231,Kawasaki,Japan,Other,JA,1306785,2,1;000;000 to 4;999;999
232,Kampong Spoe,Cambodia,Provincial capital,CB,33231,7,Less than 50;000
233,Moshi,Tanzania,Provincial capital,TZ,156959,5,100;000 to 249;999
234,Fuzhou,China,Provincial capital,CH,1179720,2,1;000;000 to 4;999;999
235,Yokohama,Japan,Other,JA,3574443,2,1;000;000 to 4;999;999
236,Arusha,Tanzania,Provincial capital,TZ,341136,4,250;000 to 499;999
237,Tay Ninh,Vietnam,Provincial capital,VM,-999,7,Less than 50;000
238,Pontianak,Indonesia,Provincial capital,ID,455173,4,250;000 to 499;999
239,Xiangkhoang,Laos,Provincial capital,LA,-999,7,Less than 50;000
240,Jambi,Indonesia,Provincial capital,ID,420323,4,250;000 to 499;999
241,Nagoya,Japan,Provincial capital,JA,2191279,2,1;000;000 to 4;999;999
242,Mombasa,Kenya,Provincial capital,KE,799668,3,500;000 to 999;999
243,Taipei,China,Provincial capital,CH,7871900,1,5;000;000 and greater
244,Muang Xaignabouri,Laos,Provincial capital,LA,-999,7,Less than 50;000
245,Palembang,Indonesia,Provincial capital,ID,1441500,2,1;000;000 to 4;999;999
246,Kyoto,Japan,Other,JA,1459640,2,1;000;000 to 4;999;999
247,Wete,Tanzania,Provincial capital,TZ,26450,7,Less than 50;000
248,T'aichung,China,Other,CH,1040725,2,1;000;000 to 4;999;999
249,Bengkulu,Indonesia,Provincial capital,ID,309712,4,250;000 to 499;999
250,Vientiane,Laos,National and provincial capital,LA,196731,5,100;000 to 249;999
251,Kobe,Japan,Other,JA,1528478,2,1;000;000 to 4;999;999
252,Tanga,Tanzania,Provincial capital,TZ,224876,5,100;000 to 249;999
253,Nong Khai,Thailand,Provincial capital,TH,63609,6,50;000 to 99;999
254,Osaka,Japan,Provincial capital,JA,2592413,2,1;000;000 to 4;999;999
255,Loei,Thailand,Provincial capital,TH,35273,7,Less than 50;000
256,Tanjungkarang-Telukbetung,Indonesia,Provincial capital,ID,800348,3,500;000 to 999;999
257,T'ainan,China,Other,CH,764147,3,500;000 to 999;999
258,Mkoani,Tanzania,Provincial capital,TZ,-999,7,Less than 50;000
259,Udon Thani,Thailand,Provincial capital,TH,247231,5,100;000 to 249;999
260,Gifu,Japan,Provincial capital,JA,397714,4,250;000 to 499;999
261,Thai Binh,Vietnam,Provincial capital,VM,53071,6,50;000 to 99;999
262,Lindi,Tanzania,Provincial capital,TZ,41912,7,Less than 50;000
263,Jakarta,Indonesia,National and provincial capital,ID,8540121,1,5;000;000 and greater
264,Kaoshsiung,China,Other,CH,-999,7,Less than 50;000
265,Tuyen Quang,Vietnam,Provincial capital,VM,36430,7,Less than 50;000
266,Nanjing,China,Provincial capital,CH,3087010,2,1;000;000 to 4;999;999
267,Mtwara,Tanzania,Provincial capital,TZ,96602,6,50;000 to 99;999
268,Yen Bai,Vietnam,Provincial capital,VM,96540,6,50;000 to 99;999
269,Mutare,Zimbabwe,Provincial capital,ZI,184205,5,100;000 to 249;999
270,Hefei,China,Provincial capital,CH,1388904,2,1;000;000 to 4;999;999
271,Palu,Indonesia,Provincial capital,ID,282431,4,250;000 to 499;999
272,Thai Nguyen,Vietnam,Provincial capital,VM,133877,5,100;000 to 249;999
273,Viet Tri,Vietnam,Provincial capital,VM,93475,6,50;000 to 99;999
274,Mkokotoni,Tanzania,Provincial capital,TZ,2572,7,Less than 50;000
275,Shanghai,China,Provincial capital,CH,14608512,1,5;000;000 and greater
276,Gweru,Zimbabwe,Provincial capital,ZI,146073,5,100;000 to 249;999
277,Ambon,Indonesia,Provincial capital,ID,355596,4,250;000 to 499;999
278,Masvingo,Zimbabwe,Provincial capital,ZI,76290,6,50;000 to 99;999
279,Wuhan,China,Provincial capital,CH,4184206,2,1;000;000 to 4;999;999
280,Hanoi,Vietnam,National capital and provincial capital enclave,VM,1431270,2,1;000;000 to 4;999;999
281,Koani,Tanzania,Provincial capital,TZ,2311,7,Less than 50;000
282,Kendari,Indonesia,Provincial capital,ID,-999,7,Less than 50;000
283,Hoa Binh,Vietnam,Provincial capital,VM,105260,5,100;000 to 249;999
284,Ninh Binh,Vietnam,Provincial capital,VM,36864,7,Less than 50;000
285,Hangzhou,China,Provincial capital,CH,1878129,2,1;000;000 to 4;999;999
286,Moroni,Comoros,National capital,CN,42872,7,Less than 50;000
287,Zanzibar,Tanzania,Provincial capital,TZ,403658,4,250;000 to 499;999
288,Makassar,Indonesia,Other,ID,1321717,2,1;000;000 to 4;999;999
289,Thanh Hoa,Vietnam,Provincial capital,VM,112473,5,100;000 to 249;999
290,Dodoma,Tanzania,Provincial capital,TZ,180541,5,100;000 to 249;999
291,Lang Son,Vietnam,Provincial capital,VM,-999,7,Less than 50;000
292,Pemba,Mozambique,Provincial capital,MZ,108737,5,100;000 to 249;999
293,Kibaha,Tanzania,Provincial capital,TZ,23651,7,Less than 50;000
294,Nanchang,China,Provincial capital,CH,1871351,2,1;000;000 to 4;999;999
295,Dili,Timor Leste,National capital,TT,150000,5,100;000 to 249;999
296,Phu Lang Thuong,Vietnam,Provincial capital,VM,53728,6,50;000 to 99;999
297,Changsha,China,Provincial capital,CH,2073938,2,1;000;000 to 4;999;999
298,Hai Duong,Vietnam,Provincial capital,VM,58030,6,50;000 to 99;999
299,Mocambique,Mozambique,Other,MZ,-999,7,Less than 50;000
300,Dar es Salaam,Tanzania,National and provincial capital,TZ,2698652,2,1;000;000 to 4;999;999
301,Darwin,Australia,Provincial capital,AS,93080,6,50;000 to 99;999
302,Haiphong,Vietnam,Other,VM,602695,3,500;000 to 999;999
303,Guangzhou,China,Other,CH,3152825,2,1;000;000 to 4;999;999
304,Harare,Zimbabwe,National and provincial capital,ZI,1542813,2,1;000;000 to 4;999;999
305,Birdum,Australia,Other,AS,-999,7,Less than 50;000
306,Morogoro,Tanzania,Provincial capital,TZ,250902,4,250;000 to 499;999
307,Dong Ha,Vietnam,Provincial capital,VM,17662,7,Less than 50;000
308,Samarinda,Indonesia,Provincial capital,ID,355160,4,250;000 to 499;999
309,Iringa,Tanzania,Provincial capital,TZ,111820,5,100;000 to 249;999
310,Shenyang,China,Other,CH,3512192,2,1;000;000 to 4;999;999
311,Songea,Tanzania,Provincial capital,TZ,126449,5,100;000 to 249;999
312,Chimoio,Mozambique,Provincial capital,MZ,256936,4,250;000 to 499;999
313,Hue,Vietnam,Provincial capital,VM,287217,4,250;000 to 499;999
314,Balikpapan,Indonesia,Other,ID,433866,4,250;000 to 499;999
315,Anshan,China,Other,CH,1199275,2,1;000;000 to 4;999;999
316,Kisumu,Kenya,Provincial capital,KE,216479,5,100;000 to 249;999
317,Bulawayo,Zimbabwe,Other,ZI,699385,3,500;000 to 999;999
318,Da Nang,Vietnam,Provincial capital,VM,752493,3,500;000 to 999;999
319,Palangkaraya,Indonesia,Provincial capital,ID,-999,7,Less than 50;000
320,Nakuru,Kenya,Provincial capital,KE,259903,4,250;000 to 499;999
321,Beijing,China,National and provincial capital,CH,7480601,1,5;000;000 and greater
322,Quang Ngai,Vietnam,Provincial capital,VM,32992,7,Less than 50;000
323,Nyeri,Kenya,Provincial capital,KE,51084,6,50;000 to 99;999
324,Lambarene,Gabon,Provincial capital,GB,20714,7,Less than 50;000
325,Tangshan,China,Other,CH,1596949,2,1;000;000 to 4;999;999
326,Bandjermasin,Indonesia,Provincial capital,ID,572837,3,500;000 to 999;999
327,Kon Tum,Vietnam,Provincial capital,VM,47409,7,Less than 50;000
328,Tianjin,China,Provincial capital,CH,3766207,2,1;000;000 to 4;999;999
329,Play Cu,Vietnam,Provincial capital,VM,114225,5,100;000 to 249;999
330,Embu,Kenya,Provincial capital,KE,34922,7,Less than 50;000
331,Port Gentil,Gabon,Provincial capital,GB,109163,5,100;000 to 249;999
332,Qui Nhon,Vietnam,Provincial capital,VM,210338,5,100;000 to 249;999
333,Surabaja,Indonesia,Other,ID,2374658,2,1;000;000 to 4;999;999
334,Mouila,Gabon,Provincial capital,GB,22469,7,Less than 50;000
335,Lumphat,Cambodia,Provincial capital,CB,19205,7,Less than 50;000
336,Shijiazhuang,China,Other,CH,1992474,2,1;000;000 to 4;999;999
337,Nairobi,Kenya,National and provincial capital,KE,2750547,2,1;000;000 to 4;999;999
338,Tuy Hoa,Vietnam,Provincial capital,VM,69596,6,50;000 to 99;999
339,Taiyuan,China,Provincial capital,CH,2722475,2,1;000;000 to 4;999;999
340,Musoma,Tanzania,Provincial capital,TZ,121119,5,100;000 to 249;999
341,Tchibanga,Gabon,Provincial capital,GB,19365,7,Less than 50;000
342,Mataram,Indonesia,Provincial capital,ID,318674,4,250;000 to 499;999
343,Singida,Tanzania,Provincial capital,TZ,62432,6,50;000 to 99;999
344,Buon Me Thuot,Vietnam,Provincial capital,VM,146975,5,100;000 to 249;999
345,Jinan,China,Provincial capital,CH,2069266,2,1;000;000 to 4;999;999
346,Mzuzu,Malawi,Provincial capital,MI,-999,7,Less than 50;000
347,Luena,Angola,Provincial capital,AO,21115,7,Less than 50;000
348,Denpasar,Indonesia,Provincial capital,ID,405923,4,250;000 to 499;999
349,Senmonorom,Cambodia,Provincial capital,CB,7944,7,Less than 50;000
350,Zhengzhou,China,Other,CH,2014125,2,1;000;000 to 4;999;999
351,Kuito,Angola,Provincial capital,AO,113624,5,100;000 to 249;999
352,Nha Trang,Vietnam,Provincial capital,VM,283441,4,250;000 to 499;999
353,Lichinga,Mozambique,Provincial capital,MZ,109839,5,100;000 to 249;999
354,Kupang,Indonesia,Provincial capital,ID,282396,4,250;000 to 499;999
355,Da Lat,Vietnam,Provincial capital,VM,131377,5,100;000 to 249;999
356,Vladivostok,Russia,Provincial capital,RS,587022,3,500;000 to 999;999
357,Menongue,Angola,Provincial capital,AO,-999,7,Less than 50;000
358,Toliara,Madagascar,Provincial capital,MA,115319,5,100;000 to 249;999
359,Jayapura,Indonesia,Provincial capital,ID,134895,5,100;000 to 249;999
360,Lilongwe,Malawi,National and provincial capital,MI,646750,3,500;000 to 999;999
361,Kemaman Harbor,Malaysia,Other,MY,-999,7,Less than 50;000
362,Ch'ongjin,North Korea,Provincial capital,KN,327000,4,250;000 to 499;999
363,Nampula,Mozambique,Provincial capital,MZ,388526,4,250;000 to 499;999
